Tanggal,Ada_Event,Penumpang_MRT,Curah_Hujan_mm,Hari_Dalam_Minggu,Bulan,Is_Weekend,Hujan_Kemarin,Volume_Sampah_Ton
2023-01-01,1.0,76866,12.064192542930495,6,1,1,0.0,11069.14
2023-01-02,0.0,87444,5.810788653951948,0,1,0,12.064192542930495,8091.7
2023-01-03,0.0,115487,12.912335419604084,1,1,0,5.810788653951948,8253.36
2023-01-04,0.0,80859,11.092612937467463,2,1,0,12.912335419604084,8181.11
2023-01-05,0.0,81949,13.881043656415027,3,1,0,11.092612937467463,7993.37
2023-01-06,0.0,91088,27.729745386705478,4,1,0,13.881043656415027,8306.94
2023-01-07,0.0,76580,0.0,5,1,1,27.729745386705478,8916.35
2023-01-08,0.0,61952,0.0,6,1,1,0.0,8412.33
2023-01-09,0.0,85120,0.0,0,1,0,0.0,7877.12
2023-01-10,0.0,96037,3.7091599256309693,1,1,0,0.0,8018.52
2023-01-11,0.0,64183,15.732629959146113,2,1,0,3.7091599256309693,8113.42
2023-01-12,0.0,78997,16.050440529705195,3,1,0,15.732629959146113,8136.7
2023-01-13,0.0,88087,0.0,4,1,0,16.050440529705195,8156.51
2023-01-14,0.0,106860,47.23876891191401,5,1,1,0.0,8989.34
2023-01-15,0.0,89675,13.375900945745519,6,1,1,47.23876891191401,8975.91
2023-01-16,0.0,87745,3.8543330692429625,0,1,0,13.375900945745519,7991.64
2023-01-17,0.0,97676,7.529234998019818,1,1,0,3.8543330692429625,8118.85
2023-01-18,0.0,83901,18.792313010048666,2,1,0,7.529234998019818,8029.21
2023-01-19,0.0,103214,8.822025431378183,3,1,0,18.792313010048666,8172.78
2023-01-20,0.0,84237,2.0605073141124266,4,1,0,8.822025431378183,7877.33
2023-01-21,0.0,80160,0.0,5,1,1,2.0605073141124266,8593.64
2023-01-22,0.0,84051,11.511183024663607,6,1,1,0.0,8971.85
2023-01-23,0.0,68568,2.898997951738329,0,1,0,11.511183024663607,8069.87
2023-01-24,0.0,86748,26.768252455857922,1,1,0,2.898997951738329,7977.29
2023-01-25,0.0,89254,13.202753474005217,2,1,0,26.768252455857922,8060.53
2023-01-26,0.0,80701,5.6857872848279625,3,1,0,13.202753474005217,8073.7
2023-01-27,0.0,104635,0.0,4,1,0,5.6857872848279625,8075.08
2023-01-28,0.0,92114,6.2643308559733395,5,1,1,0.0,8838.12
2023-01-29,0.0,73488,3.41070851720309,6,1,1,6.2643308559733395,8919.54
2023-01-30,0.0,101185,14.827486504769332,0,1,0,3.41070851720309,8163.43
2023-01-31,0.0,96841,39.43628506587022,1,1,0,14.827486504769332,8509.44
2023-02-01,0.0,81090,16.458748408666093,2,2,0,39.43628506587022,8521.36
2023-02-02,0.0,91384,14.135033948417043,3,2,0,16.458748408666093,8322.98
2023-02-03,0.0,78117,0.0,4,2,0,14.135033948417043,8276.55
2023-02-04,0.0,74131,34.70628533718897,5,2,1,0.0,8610.12
2023-02-05,0.0,93486,7.06721920754921,6,2,1,34.70628533718897,9174.83
2023-02-06,0.0,99738,0.0,0,2,0,7.06721920754921,7761.64
2023-02-07,0.0,86069,2.023555263753742,1,2,0,0.0,8163.97
2023-02-08,0.0,85021,7.3816957882642,2,2,0,2.023555263753742,8469.65
2023-02-09,0.0,69293,10.667456963851162,3,2,0,7.3816957882642,8234.32
2023-02-10,0.0,84658,0.0,4,2,0,10.667456963851162,8205.46
2023-02-11,0.0,96455,22.227040830462204,5,2,1,0.0,8524.76
2023-02-12,0.0,79547,6.951749605924486,6,2,1,22.227040830462204,8883.46
2023-02-13,0.0,83401,10.343842157216185,0,2,0,6.951749605924486,8126.08
2023-02-14,0.0,76159,9.452208021179636,1,2,0,10.343842157216185,7881.77
2023-02-15,0.0,67179,24.0749230563349,2,2,0,9.452208021179636,8196.76
2023-02-16,0.0,74877,27.660437475958176,3,2,0,24.0749230563349,8207.25
2023-02-17,0.0,80112,0.0,4,2,0,27.660437475958176,8110.58
2023-02-18,0.0,76595,3.747625321472489,5,2,1,0.0,8664.04
2023-02-19,0.0,65627,5.083690260774184,6,2,1,3.747625321472489,8459.16
2023-02-20,0.0,92608,2.193648685251406,0,2,0,5.083690260774184,8066.01
2023-02-21,0.0,84556,8.787805616063908,1,2,0,2.193648685251406,7971.72
2023-02-22,0.0,84410,14.885511724115739,2,2,0,8.787805616063908,8087.39
2023-02-23,0.0,63623,16.038721191186962,3,2,0,14.885511724115739,8027.74
2023-02-24,0.0,62547,15.43699658658326,4,2,0,16.038721191186962,8048.61
2023-02-25,0.0,96194,21.968644765391506,5,2,1,15.43699658658326,8871.06
2023-02-26,0.0,78791,0.0,6,2,1,21.968644765391506,8617.63
2023-02-27,0.0,86856,8.26211468397081,0,2,0,0.0,7872.2
2023-02-28,0.0,85631,7.888192385523929,1,2,0,8.26211468397081,8123.0
2023-03-01,0.0,89331,2.0923046604649245,2,3,0,7.888192385523929,8110.24
2023-03-02,0.0,80857,29.15206806833591,3,3,0,2.0923046604649245,8025.5
2023-03-03,0.0,96651,17.718240811947023,4,3,0,29.15206806833591,8332.79
2023-03-04,0.0,87587,4.6256195726986205,5,3,1,17.718240811947023,9099.45
2023-03-05,0.0,84325,2.9226446487702553,6,3,1,4.6256195726986205,8868.08
2023-03-06,0.0,74514,3.1390340167120527,0,3,0,2.9226446487702553,8129.42
2023-03-07,0.0,87063,28.701549912076175,1,3,0,3.1390340167120527,8281.63
2023-03-08,0.0,93259,9.127138889409181,2,3,0,28.701549912076175,8408.73
2023-03-09,0.0,89121,13.813817896938215,3,3,0,9.127138889409181,7938.3
2023-03-10,0.0,71709,6.230475958589993,4,3,0,13.813817896938215,8077.67
2023-03-11,1.0,80197,13.733136298309343,5,3,1,6.230475958589993,11143.88
2023-03-12,1.0,73301,31.27590466187559,6,3,1,13.733136298309343,10205.05
2023-03-13,0.0,83164,0.0,0,3,0,31.27590466187559,8198.43
2023-03-14,0.0,114050,2.999005723627264,1,3,0,0.0,8087.31
2023-03-15,0.0,88661,11.331792897749187,2,3,0,2.999005723627264,8100.85
2023-03-16,0.0,85644,9.904323903739561,3,3,0,11.331792897749187,7877.21
2023-03-17,0.0,82200,6.728109873645276,4,3,0,9.904323903739561,8046.33
2023-03-18,0.0,85894,31.9235373141546,5,3,1,6.728109873645276,8622.76
2023-03-19,0.0,86571,18.427250704456295,6,3,1,31.9235373141546,9233.84
2023-03-20,0.0,78566,11.750070200323002,0,3,0,18.427250704456295,8212.85
2023-03-21,0.0,97214,6.515548553784721,1,3,0,11.750070200323002,8161.12
2023-03-22,0.0,92646,2.4665999346350085,2,3,0,6.515548553784721,8258.66
2023-03-23,0.0,83263,7.007908052280348,3,3,0,2.4665999346350085,7943.96
2023-03-24,0.0,98843,5.547676251615436,4,3,0,7.007908052280348,8270.3
2023-03-25,0.0,91727,21.54880770517081,5,3,1,5.547676251615436,8727.51
2023-03-26,0.0,76150,10.096697414178232,6,3,1,21.54880770517081,8822.09
2023-03-27,0.0,75409,4.226180326759825,0,3,0,10.096697414178232,8133.4
2023-03-28,0.0,112577,23.47740070799914,1,3,0,4.226180326759825,8265.65
2023-03-29,0.0,71558,23.561278564457346,2,3,0,23.47740070799914,8337.76
2023-03-30,0.0,81641,9.383592095693741,3,3,0,23.561278564457346,8217.63
2023-03-31,0.0,82510,2.237975184916724,4,3,0,9.383592095693741,8195.4
2023-04-01,0.0,89438,3.763319884040454,5,4,1,2.237975184916724,8464.33
2023-04-02,0.0,76781,2.5699498063375525,6,4,1,3.763319884040454,8583.31
2023-04-03,0.0,83671,11.9802481446014,0,4,0,2.5699498063375525,7909.62
2023-04-04,0.0,77115,3.796379090573771,1,4,0,11.9802481446014,8138.27
2023-04-05,0.0,84690,15.479737677741916,2,4,0,3.796379090573771,8412.21
2023-04-06,0.0,89959,25.24673130194123,3,4,0,15.479737677741916,8138.01
