TANGGAL,RR,Nama_Event,Ada_Event,Crowd_Scale,Volume_Total_Ton,Vol_Sisa_Makanan_Ton,Vol_Plastik_Ton,Hari_Ke,Is_Weekend
2025-01-01,0.0,Perayaan Tahun Baru,1.0,3.0,1450.0,723.12,332.78,1,0
2025-01-02,0.0,Tidak ada,0.0,0.0,1000.0,498.7,229.5,2,0
2025-01-03,0.0,Tidak ada,0.0,0.0,1000.0,498.7,229.5,3,0
2025-01-04,0.0,Tidak ada,0.0,0.0,1000.0,498.7,229.5,4,1
2025-01-05,0.0,Car Free Day Besar,1.0,1.0,1150.0,573.5,263.92,5,1
2025-01-06,18.4,Tidak ada,0.0,0.0,1000.0,498.7,229.5,6,0
2025-01-07,0.0,Tidak ada,0.0,0.0,1000.0,498.7,229.5,7,0
2025-01-08,9.0,Tidak ada,0.0,0.0,1000.0,498.7,229.5,8,0
2025-01-09,71.0,Tidak ada,0.0,0.0,1142.0,569.52,262.09,9,0
2025-01-10,6.5,Tidak ada,0.0,0.0,1000.0,498.7,229.5,10,0
2025-01-11,23.2,Konser Lokal,1.0,2.0,1346.4,671.45,309.0,11,1
2025-01-12,2.0,Tidak ada,0.0,0.0,1000.0,498.7,229.5,12,1
2025-01-13,0.0,Tidak ada,0.0,0.0,1000.0,498.7,229.5,13,0
2025-01-14,29.2,Tidak ada,0.0,0.0,1058.4,527.82,242.9,14,0
2025-01-15,18.0,Tidak ada,0.0,0.0,1000.0,498.7,229.5,15,0
2025-01-16,0.0,Tidak ada,0.0,0.0,1000.0,498.7,229.5,16,0
2025-01-17,0.0,Tidak ada,0.0,0.0,1000.0,498.7,229.5,17,0
2025-01-18,38.5,Tidak ada,0.0,0.0,1077.0,537.1,247.17,18,1
2025-01-19,6.4,Tidak ada,0.0,0.0,1000.0,498.7,229.5,19,1
2025-01-20,29.2,Tidak ada,0.0,0.0,1058.4,527.82,242.9,20,0
2025-01-21,60.0,Tidak ada,0.0,0.0,1120.0,558.54,257.04,21,0
2025-01-22,22.1,Tidak ada,0.0,0.0,1044.2,520.74,239.64,22,0
2025-01-23,0.0,Tidak ada,0.0,0.0,1000.0,498.7,229.5,23,0
2025-01-24,0.0,Tidak ada,0.0,0.0,1000.0,498.7,229.5,24,0
2025-01-25,2.0,Festival Kuliner,1.0,2.0,1300.0,648.31,298.35,25,1
2025-01-26,0.0,Tidak ada,0.0,0.0,1000.0,498.7,229.5,26,1
2025-01-27,0.5,Tidak ada,0.0,0.0,1000.0,498.7,229.5,27,0
2025-01-28,0.0,Tidak ada,0.0,0.0,1000.0,498.7,229.5,28,0
2025-01-29,184.8,Tidak ada,0.0,0.0,1369.6,683.02,314.32,29,0
2025-01-30,8.3,Tidak ada,0.0,0.0,1000.0,498.7,229.5,30,0
2025-01-31,9.5,Event Akhir Bulan,1.0,1.0,1150.0,573.5,263.92,31,0
