TANGGAL,RR,Nama_Event,Ada_Event,Crowd_Scale,Volume_Total_Ton,Vol_Sisa_Makanan_Ton,Vol_Plastik_Ton,Hari_Ke,Is_Weekend,ZONA
2026-01-01,12.8,New Year Countdown,1,4.0,10798.08,5385.03,2478.19,1,0,Tourism
2026-01-02,18.3,New Year Countdown,1,2.8,10696.91,5334.55,2454.95,2,0,Tourism
2026-01-03,17.6,,0,0.0,7260.81,3620.98,1666.39,3,1,Residential
2026-01-04,4.7,,0,0.0,7567.43,3773.85,1736.74,4,1,Residential
2026-01-05,0.0,,0,0.0,6680.76,3331.69,1533.26,5,0,Residential
2026-01-06,0.0,,0,0.0,6990.81,3486.33,1604.37,6,0,Residential
2026-01-07,11.0,,0,0.0,7363.06,3671.98,1689.81,7,0,Residential
2026-01-08,6.2,,0,0.0,7088.03,3534.78,1626.72,8,0,Residential
2026-01-09,0.0,,0,0.0,6868.7,3425.4,1576.36,9,0,Residential
2026-01-10,0.0,,0,0.0,7260.24,3620.67,1666.19,10,1,Residential
2026-01-11,0.2,,0,0.0,8126.22,4052.57,1864.96,11,1,Residential
2026-01-12,0.0,,0,0.0,7035.44,3508.55,1614.62,12,0,Residential
2026-01-13,0.0,,0,0.0,6613.21,3298.01,1517.73,13,0,Residential
2026-01-14,6.3,,0,0.0,6639.57,3311.12,1523.77,14,0,Residential
2026-01-15,6.6,,0,0.0,6639.5,3311.12,1523.77,15,0,Residential
2026-01-16,0.0,,0,0.0,7014.17,3497.98,1609.72,16,0,Residential
2026-01-17,0.0,,0,0.0,7209.31,3595.26,1654.54,17,1,Residential
2026-01-18,4.1,Car Free Day,1,1.5,9289.08,4632.44,2131.84,18,1,Tourism
2026-01-19,0.0,,0,0.0,7206.06,3593.67,1653.78,19,0,Residential
2026-01-20,0.0,,0,0.0,7474.48,3727.5,1715.41,20,0,Residential
2026-01-21,0.0,,0,0.0,7430.04,3705.34,1705.22,21,0,Residential
2026-01-22,0.0,,0,0.0,7029.84,3505.75,1613.35,22,0,Residential
2026-01-23,0.0,,0,0.0,7588.5,3784.41,1741.57,23,0,Residential
2026-01-24,0.0,,0,0.0,8424.62,4201.36,1933.46,24,1,Residential
2026-01-25,19.1,,0,0.0,9039.06,4507.78,2074.48,25,1,Residential
2026-01-26,0.0,,0,0.0,7901.74,3940.59,1813.45,26,0,Residential
2026-01-27,2.0,,0,0.0,7160.16,3570.75,1643.27,27,0,Residential
2026-01-28,0.0,,0,0.0,7137.81,3559.61,1638.12,28,0,Residential
2026-01-29,2.4,,0,0.0,6283.1,3133.37,1441.96,29,0,Residential
2026-01-30,0.0,,0,0.0,6369.05,3176.22,1461.7,30,0,Residential
2026-01-31,0.0,,0,0.0,6658.6,3320.67,1528.17,31,1,Residential
2026-02-01,6.6,,0,0.0,7218.99,3600.1,1656.77,32,1,Residential
2026-02-02,0.0,,0,0.0,6291.44,3137.57,1443.87,33,0,Residential
2026-02-03,7.7,,0,0.0,6606.71,3294.76,1516.26,34,0,Residential
2026-02-04,0.3,,0,0.0,6752.19,3367.34,1549.62,35,0,Residential
2026-02-05,0.0,,0,0.0,7146.73,3564.07,1640.15,36,0,Residential
2026-02-06,1.8,,0,0.0,7556.22,3768.31,1734.13,37,0,Residential
2026-02-07,0.0,,0,0.0,7978.39,3978.85,1831.02,38,1,Residential
2026-02-08,0.0,,0,0.0,8111.71,4045.32,1861.65,39,1,Residential
2026-02-09,12.6,,0,0.0,7456.97,3718.78,1711.4,40,0,Residential
2026-02-10,7.5,,0,0.0,7687.37,3833.69,1764.24,41,0,Residential
2026-02-11,0.0,,0,0.0,7093.12,3537.33,1627.87,42,0,Residential
2026-02-12,0.0,,0,0.0,7426.03,3703.37,1704.27,43,0,Residential
2026-02-13,0.0,,0,0.0,7718.7,3849.29,1771.43,44,0,Residential
2026-02-14,7.5,,0,0.0,7981.45,3980.38,1831.72,45,1,Residential
2026-02-15,1.5,Imlek & Glodok Festival,1,1.1,9452.38,4713.87,2169.34,46,1,Tourism
2026-02-16,10.6,Imlek & Glodok Festival,1,2.1,9111.38,4543.82,2091.04,47,0,Tourism
2026-02-17,0.0,Imlek & Glodok Festival,1,2.5,9732.7,4853.68,2233.65,48,0,Tourism
2026-02-18,2.0,Imlek & Glodok Festival,1,2.1,9232.41,4604.17,2118.86,49,0,Tourism
